"id","current_time","CPU[%](µ¥ºË)","battery[%]","temperature[¡æ]","Memory-Uss[MB]"
"1","2022-05-09-17-41-18","8.68","98","38.0","228.83"
"2","2022-05-09-17-41-34","9.28","98","38.0","232.0"
"3","2022-05-09-17-41-49","10.22","97","39.0","228.4"
"4","2022-05-09-17-42-05","9.06","97","39.0","229.71"
"5","2022-05-09-17-42-20","7.71","97","39.0","231.18"
"6","2022-05-09-17-42-36","8.84","96","39.0","232.75"
"7","2022-05-09-17-42-52","9.03","96","39.0","230.68"
"8","2022-05-09-17-43-07","9.55","96","39.0","229.62"
"9","2022-05-09-17-43-24","10.57","96","40.0","232.77"
"10","2022-05-09-17-43-39","9.11","95","40.0","230.82"
"11","2022-05-09-17-43-55","11.03","95","40.0","232.81"
"12","2022-05-09-17-44-11","11.78","95","40.0","228.83"
"13","2022-05-09-17-44-27","7.64","94","40.0","230.38"
"14","2022-05-09-17-44-43","8.93","94","40.0","232.02"
"15","2022-05-09-17-44-59","9.28","94","40.0","229.04"
"16","2022-05-09-17-45-15","10.22","94","41.0","231.32"
"17","2022-05-09-17-45-32","8.1","94","41.0","229.3"
"18","2022-05-09-17-45-48","9.03","93","41.0","230.86"
"19","2022-05-09-17-46-04","9.46","93","41.0","232.04"
"20","2022-05-09-17-46-21","9.54","93","41.0","229.63"
"21","2022-05-09-17-46-37","8.21","92","41.0","231.17"
"22","2022-05-09-17-46-54","11.39","92","41.0","231.79"
"23","2022-05-09-17-47-11","10.35","92","41.0","230.45"
"24","2022-05-09-17-47-30","12.14","92","41.0","232.26"
"25","2022-05-09-17-47-47","9.55","91","41.0","230.62"
"26","2022-05-09-17-48-06","7.85","91","41.0","232.84"
"27","2022-05-09-17-48-23","7.97","91","42.0","230.67"
"28","2022-05-09-17-48-41","11.81","90","42.0","233.33"
"29","2022-05-09-17-48-59","11.54","90","42.0","233.15"
"30","2022-05-09-17-49-18","11.25","90","41.0","232.7"
"31","2022-05-09-17-49-37","12.5","90","41.0","232.98"
"32","2022-05-09-17-49-56","9.14","90","42.0","230.41"
"33","2022-05-09-17-50-14","11.25","89","42.0","233.72"
"34","2022-05-09-17-50-33","13.75","89","42.0","232.99"
"35","2022-05-09-17-50-51","8.03","89","42.0","234.29"
"36","2022-05-09-17-51-10","5.96","89","42.0","231.2"
"37","2022-05-09-17-51-26","6.94","89","42.0","232.35"
"38","2022-05-09-17-51-44","8.03","89","42.0","233.92"
"39","2022-05-09-17-52-03","8.88","88","42.0","230.71"
"40","2022-05-09-17-52-21","9.54","88","42.0","232.44"
"41","2022-05-09-17-52-38","9.81","88","43.0","234.1"
"42","2022-05-09-17-52-56","10.41","88","43.0","230.84"
"43","2022-05-09-17-53-14","11.45","87","43.0","232.11"
"44","2022-05-09-17-53-33","9.09","87","43.0","233.7"
"45","2022-05-09-17-53-51","8.62","87","43.0","231.21"
"46","2022-05-09-17-54-09","8.32","87","43.0","232.6"
"47","2022-05-09-17-54-27","8.65","87","43.0","233.63"
"48","2022-05-09-17-54-46","8.85","86","43.0","230.88"
"49","2022-05-09-17-55-05","9.59","86","43.0","232.63"
"50","2022-05-09-17-55-24","11.14","86","43.0","234.67"
"51","2022-05-09-17-55-42","8.14","86","43.0","231.91"
"52","2022-05-09-17-56-01","10.41","85","43.0","232.39"
"53","2022-05-09-17-56-19","14.62","85","43.0","230.33"
"54","2022-05-09-17-56-38","9.84","85","43.0","231.34"
"55","2022-05-09-17-56-56","12.15","85","43.0","233.39"
"56","2022-05-09-17-57-15","12.75","84","43.0","233.94"
"57","2022-05-09-17-57-33","12.15","84","43.0","232.37"
"58","2022-05-09-17-57-52","11.47","84","43.0","231.68"
"59","2022-05-09-17-58-10","12.5","84","43.0","231.77"
"60","2022-05-09-17-58-29","11.51","84","43.0","234.53"
"61","2022-05-09-17-58-48","14.25","83","43.0","234.47"
"62","2022-05-09-17-59-08","11.75","83","43.0","232.71"
"63","2022-05-09-17-59-28","15.62","83","43.0","232.44"
"64","2022-05-09-17-59-48","15.62","83","43.0","231.68"
"65","2022-05-09-18-00-07","14.62","82","43.0","234.61"
"66","2022-05-09-18-00-26","13.12","82","43.0","233.52"
"67","2022-05-09-18-00-46","10.22","82","43.0","232.89"
"68","2022-05-09-18-01-07","8.51","82","43.0","235.82"
