"id","CPU[%](µ¥ºË)","battery[%]","temperature[¡æ]","Memory-Vss[MB]","Memory-Rss[MB]","Memory-Pss[MB]","Memory-Uss[MB]"
"1","15.5","100","37.0","10786.43359375","288.1328125","224.2607421875","217.0"
"2","16.125","99","37.0","10786.43359375","290.6640625","226.7900390625","219.53125"
"3","12.5","99","38.0","10786.43359375","289.7734375","225.759765625","218.640625"
"4","14.25","99","38.0","10786.43359375","288.0078125","223.9775390625","216.85546875"
"5","14.625","99","39.0","10786.68359375","290.515625","226.453125","219.36328125"
"6","13.125","98","39.0","10786.43359375","289.9296875","225.8671875","218.77734375"
"7","16.25","97","39.0","10786.68359375","288.95703125","224.890625","217.80078125"
"8","13.5","97","39.0","10786.43359375","290.82421875","226.7568359375","219.66796875"
"9","13.125","96","40.0","10786.43359375","290.05078125","225.9833984375","218.89453125"
"10","13.125","96","40.0","10786.43359375","289.078125","225.0107421875","217.921875"
"11","13.875","96","40.0","10786.43359375","288.1328125","224.064453125","216.9765625"
"12","17.125","95","40.0","10786.66796875","290.953125","226.884765625","219.796875"
"13","14.625","95","40.0","10786.43359375","289.3515625","225.2685546875","218.1875"
"14","12.5","95","40.0","10786.43359375","288.48828125","224.404296875","217.32421875"
"15","15.875","94","41.0","10787.18359375","292.5390625","228.455078125","221.375"
"16","15.625","94","41.0","10786.46484375","290.9453125","226.861328125","219.78125"
"17","9.75","94","41.0","10786.69921875","290.16796875","226.083984375","219.00390625"
"18","18.75","94","41.0","10786.43359375","289.5390625","225.4482421875","218.3671875"
"19","13.125","94","41.0","10787.18359375","291.8125","227.7216796875","220.640625"
"20","13.125","94","41.0","10787.19921875","291.1171875","227.0263671875","219.9453125"
"21","11.6","93","42.0","10786.43359375","289.8984375","225.8076171875","218.7265625"
"22","14.25","93","42.0","10786.69921875","293.12890625","229.01171875","221.95703125"
"23","14.5","92","42.0","10786.43359375","292.23046875","228.111328125","221.05859375"
"24","12.15","92","42.0","10786.43359375","291.67578125","227.546875","220.4921875"
"25","14.75","92","43.0","10787.19921875","290.71875","226.58984375","219.53515625"
"26","12.5","92","43.0","10786.45703125","289.76953125","225.640625","218.5859375"
"27","14.125","92","43.0","10786.44140625","293.05859375","228.9296875","221.875"
"28","14.125","92","43.0","10786.42578125","292.44921875","228.3203125","221.265625"
"29","20.0","91","43.0","10787.45703125","292.1484375","228.01953125","220.96484375"
"30","17.0","91","43.0","10787.42578125","291.51953125","227.390625","220.3359375"
