"id","current_time","CPU[%](µ¥ºË)","battery[%]","temperature[¡æ]","Memory-Vss[MB]","Memory-Rss[MB]","Memory-Pss[MB]","Memory-Uss[MB]"
"1","2022-04-27-21-55-33","13.125","95","33.0","10824.875","288.828125","224.423828125","217.515625"
"2","2022-04-27-21-55-33","14.125","94","34.0","10824.62109375","290.21484375","225.810546875","218.90234375"
"3","2022-04-27-21-55-33","12.1375","94","34.0","10824.62109375","291.07421875","226.673828125","219.765625"
"4","2022-04-27-21-55-33","12.75","94","35.0","10824.62109375","292.9140625","228.513671875","221.60546875"
"5","2022-04-27-21-55-33","15.0","94","35.0","10824.6171875","294.1875","229.787109375","222.87890625"
"6","2022-04-27-21-55-33","11.425","93","35.0","10824.6171875","295.5","231.099609375","224.19140625"
"7","2022-04-27-21-55-33","14.125","93","36.0","10824.6171875","296.453125","232.052734375","225.14453125"
"8","2022-04-27-21-55-33","10.4625","93","36.0","10824.6171875","298.296875","233.8896484375","226.98046875"
"9","2022-04-27-21-55-33","12.15","92","36.0","10824.61328125","299.2265625","234.8193359375","227.91015625"
"10","2022-04-27-21-55-33","13.875","92","37.0","10820.14453125","277.2421875","212.650390625","205.734375"
"11","2022-04-27-21-55-33","13.5","92","37.0","10820.89453125","279.1875","214.595703125","207.6796875"
"12","2022-04-27-21-55-33","11.8","91","37.0","10820.40234375","280.4140625","215.8134765625","208.90625"
"13","2022-04-27-21-55-33","15.375","91","37.0","10820.15234375","277.74609375","213.1435546875","206.234375"
"14","2022-04-27-21-55-33","12.75","91","38.0","10820.40625","278.51953125","213.9169921875","207.0078125"
"15","2022-04-27-21-55-33","13.5","91","38.0","10820.671875","280.18359375","215.5810546875","208.671875"
"16","2022-04-27-21-55-33","13.5","90","38.0","10821.40625","276.54296875","211.9345703125","205.0234375"
"17","2022-04-27-21-55-33","10.7625","90","38.0","10821.421875","278.0703125","213.4619140625","206.55078125"
"18","2022-04-27-21-55-33","12.5","90","38.0","10821.15625","278.83984375","214.2314453125","207.3203125"
"19","2022-04-27-21-55-33","11.3625","90","39.0","10820.40625","276.53515625","211.9267578125","205.015625"
"20","2022-04-27-21-55-33","10.4125","90","39.0","10820.65625","277.7265625","213.1181640625","206.20703125"
"1","2022-04-27-21-55-33","18.875","86","38.0","10956.64453125","427.18359375","360.728515625","353.44140625"
"2","2022-04-27-21-55-33","14.625","86","39.0","10956.66015625","428.671875","362.216796875","354.9296875"
